"","site","treatment","transect.point","dark.light","date","ghg","device","real.time","chamber_size","chamber.expansion","ref.redox","redox","air.temp_chamber","soil.temp_thermo","air.temp.phone","salinity","status.ch4","status.co2","status.n2o","status.fan","analyzed_minutes","flag","r2.ch4","rmse.ch4","r2.co2","rmse.co2","r2.h2o_lgr","rmse.h2o_lgr","r2.h2o_licor_ch4","rmse.h2o_licor_ch4","r2.n2o","rmse.n2o","r2.h2o_licor_n2o","rmse.h2o_licor_n2o","mean.tair","se.tair","mean.rh","se.rh","mean.tsoil","se.tsoil","mean.rad","se.rad","mean.vwc","se.vwc","area.m2","volume.m3","flux.ch4.umol","p.ch4","sd.ch4","se.ch4","flux.co2.mmol","p.co2","sd.co2","se.co2","flux.h2o.mmol_lgr","p.h2o_lgr","sd.h2o_lgr","se.h2o_lgr","flux.n2o.umol","p.n2o","sd.n2o","se.n2o","flux.h2o.mmol_licor_n2o","p.h2o_licor_n2o","sd.h2o_licor_n2o","se.h2o_licor_n2o","flux.h2o.mmol_licor_ch4","p.h2o_licor_ch4","sd.h2o_licor_ch4","se.h2o_licor_ch4"
"11","NES","ng","2","L","19397","ch4","lgr","1675936860","0.5","100","333","42","3",NA,"3",NA,"unknown","unknown","unknown","on","6.5","4","0.588049870040034","0.00235696957153827","0.014216790430996","0.790029243792748","0.342403069614889","278.105415763355",NA,NA,NA,NA,NA,NA,"276",NA,NA,NA,"1.25515151515152","0.00492599036576026","95.7709090909091","2.02193742239532","96.46","0","0.1534","0.082414","51.158172615327","2.64377272764077e-77","0.00858751712505324","0.000433182936436856","1.72357239585177","0.0180477190968796","0.00287843752515545","0.000145197965994058","-3645.64748587237","1.76743917738278e-37","1.01326510502192","0.0511124632639001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NES","g","2","L","19397","ch4","lgr","1675942800","0.5","100","333","329","3.9",NA,"4",NA,"unknown","unknown","unknown","on","6.5","2","0.0390896674071721","0.00278656615583679","0.967348893119747","0.640041129960171","0.479764636591288","308.456396312934",NA,NA,NA,NA,NA,NA,"276.9",NA,NA,NA,"0.58","0","76.3942424242424","0.18547493822322","75.0687878787879","0.0263741924181894","0.1534","0.082414","10.1682020611881","7.94663279373731e-05","0.0101197346435771","0.00051047308611211","-63.0283230534013","1.20167288207711e-292","0.00232438278294786","0.000117249601329253","5359.11671516199","1.90960857241039e-57","1.12019478642654","0.0565063521736494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","HAH","ng","110","L","19401","ch4","lgr","1676275740","1","100","293","5","6.3",NA,"5","29","unknown","unknown","unknown","on","3.5","4","0.174588159277854","0.00244911360583889","0.441569655965837","0.982941097908977","0.11660256383124","214.405979247926",NA,NA,NA,NA,NA,NA,"279.3",NA,NA,NA,"5.12","0","59.0295238095238","0.116470875555255","95.8938095238095","0.029297132888132","0.1963","0.200175","71.2360510764056","2.29365283991806e-10","0.0214409005617223","0.00147256709636297","-55.2791631782724","2.22334147543421e-28","0.00860521222374112","0.000591008401975616","4926.42340732482","3.45949477018914e-07","1.87702900752881","0.128914881511103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","HAH","ng","240","L","19401","ch4","licor","1676296920","1","100","329","311","6.4",NA,"6","29","unknown","unknown","unknown","on","3.5","1","0.207730650740961","0.101007930312384","0.753246305584914","0.409301876201555",NA,NA,"0.990901869591074","0.810651856979857",NA,NA,NA,NA,"279.4",NA,NA,NA,"6.07","0","25.3833333333333","0.058725890020758","67.4752380952381","0.0729762487376447","0.1963","0.200175","-3.26308019016459","3.21576120380854e-12","0.000883972949614535","6.08552075232882e-05","45.1168551324558","1.96679948316511e-65","0.00358201366635185","0.000246595990422728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"533.742810171023","2.84324099377688e-215","0.00709443615871788","0.000488401126853211"
"15","HAH","ng","370","L","19402","ch4","lgr","1676374020","1","100","310","316","11.5",NA,"6","29","unknown","unknown","unknown","on","6.5","2","0.381579532410374","0.00303389611307855","0.920685366169154","0.684754342176846","0.629536425033792","451.19292431291",NA,NA,NA,NA,NA,NA,"284.5",NA,NA,NA,"5.28","0","298.097777777778","8.85101802154061","35.8141666666667","0.00410912650510061","0.1963","0.200175","79.7503473626841","1.02094440457883e-42","0.0260465376544842","0.00131387402212751","78.0719492557578","2.79896838811322e-217","0.00587873779879794","0.000296543094487261","19682.5437236996","2.48406826369706e-86","3.87357149175031","0.19539583430922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","MET","ng","5","L","19403","ch4","lgr","1676448180","1","100","320","-38","1",NA,"2","21","unknown","unknown","unknown","on","4.5","1","0.965188227159111","0.00176010715167525","0.904280447678175","0.457145660118861","0.307160704437527","124.092855923435",NA,NA,NA,NA,NA,NA,"274",NA,NA,NA,"3.47305555555556","0.000778627653585245","87.5541666666667","1.31935177535897","70.3066666666667","0.0593910901339721","0.1534","0.165508","490.39713641687","1.24906059330246e-199","0.0129799462576733","0.000785582084770525","74.3484163925169","4.28868588430882e-140","0.00337123003825308","0.000204036123811086","4371.99072442679","2.20576701384953e-23","0.915125308884974","0.0553859032779229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MET","g","5","L","19403","ch4","lgr","1676452500","0.5","100","320","280","1.5",NA,"3","21","unknown","unknown","unknown","on","4.5","1","0.867440636590468","0.00355218391926496","0.567317660877014","0.973749301428166","0.37017152083648","320.232009327411",NA,NA,NA,NA,NA,NA,"274.5",NA,NA,NA,"3.13405405405405","0.00736703414618324","23.2816216216216","2.26551462885601","52.72","1.46445569427022","0.1534","0.082414","239.002860984881","6.34311601836016e-121","0.013020253722438","0.000788021603515293","29.3270720022281","3.22002324074202e-51","0.00356920228648103","0.000216017949344276","6457.25703028985","4.92955879558307e-29","1.17378550949348","0.071040730779313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MET","ng","3","L","19403","ch4","lgr","1676456220","1","100","320","259","2.3",NA,"5","21","unknown","unknown","unknown","on","4.5","2","0.388973099463474","0.00243804160250872","0.939174643297022","0.671234969480768","0.326621564183532","378.905783294089",NA,NA,NA,NA,NA,NA,"275.3",NA,NA,NA,"3.86","0","144.064324324324","0.883713375711544","55.0048648648649","0.00886689715223723","0.1534","0.165508","102.453572381651","7.92146448047183e-31","0.0178944869071079","0.00108302361591631","138.919047377539","8.75085857518999e-167","0.00492666136648636","0.000298175110313325","-13898.9001341327","4.50748284733544e-25","2.78105368308997","0.168317025883603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","MET","g","3","L","19403","ch4","lgr","1676459820","0.5","100","320",NA,"4",NA,"5","21","unknown","unknown","unknown","on","4.5","4","0.134714644430227","0.00188063723403901","0.617669290036518","0.841084649697444","0.382271023591351","323.643274831629",NA,NA,NA,NA,NA,NA,"277",NA,NA,NA,"3.78","0","136.241621621622","1.96191866596934","60.1816216216216","0.0140008231928379","0.1534","0.082414","19.3420369941648","3.94238289522508e-10","0.00683111526424663","0.000413437903675619","-27.8655469173475","1.61885099294962e-58","0.00305510604867177","0.000184903429587915","6636.25004669199","3.50316430928046e-30","1.17558265616396","0.0711494990438352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","MET","g","1","L","19403","ch4","lgr","1676463960","0.5","100","320","84","3.7",NA,"6","21","unknown","unknown","unknown","on","4.5","4","0.344652225825826","0.00373209446010806","0.40447378308995","0.815007182971951","0.259817409338104","351.340820252975",NA,NA,NA,NA,NA,NA,"276.7",NA,NA,NA,"3.99513513513513","0.00503175534034077","85.5254054054054","1.55868383082448","56.2548648648649","0.0020730510809017","0.1534","0.082414","70.8374119966365","1.37365367469623e-26","0.0135710282779122","0.000822864456442294","-17.5797061588198","3.10248902326899e-32","0.00296361350041885","0.00017969546317255","5448.14592351034","2.16188522510944e-19","1.27758186664448","0.0774647791404259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","MET","ng","1","L","19403","ch4","lgr","1676466120","0.5","100","320","-194","4.95",NA,"6","21","unknown","unknown","unknown","on","4.5","2","0.00536663320721096","0.00263478950008601","0.908754449885161","0.957007692026542","0.0141596651676568","294.611928355544",NA,NA,NA,NA,NA,NA,"277.95",NA,NA,NA,"4.1","0","100.762972972973","1.65520526951008","96.46","0","0.1534","0.082414","-5.02706460662975","0.227633539352697","0.00953774260356647","0.000577250442318666","78.4480142487348","6.52163419474087e-143","0.00346429687680354","0.000209668785118005","917.112526039031","0.0495216985329185","1.06647333326019","0.0645459024146136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","MET","pz","1","L","19403","ch4","lgr","1676469000","1","100","320","-419","4.3",NA,"6","21","unknown","unknown","unknown","on","4.5","1","0.729797739850188","0.00212376618638024","0.501664725951282","0.874372938172648","0.175455614927312","289.271599487573",NA,NA,NA,NA,NA,NA,"277.3",NA,NA,NA,"4.57","0","71.8318918918919","0.939734391411785","96.46","0","0.1534","0.165508","182.432837466437","5.58114025978903e-79","0.0154753750073712","0.00093661230328357","45.8545270531477","7.03821449756845e-43","0.00637134596138448","0.000385611399598807","6974.64256657111","5.04420171709966e-13","2.10785278989784","0.127573054325892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","HEI","g","5","L","19409","ch4","lgr","1676962140","0.5","100","320","89",NA,NA,"5","23","unknown","unknown","unknown","on","5","2","0.415436193289724","0.00196515514175564","0.989010401238768","0.42044165974779","0.901502322234364","112.202081331218",NA,NA,NA,NA,NA,NA,"280.812809364549","0.0239106306270641","84.8116387959866","0.0713717059971072","5.68","0","137.120689655172","0.502503077223743","49.138275862069","0.0126244442448738","0.1534","0.082414","-38.4698552103889","7.52580731599469e-37","0.00703995092963232","0.000405103654022139","-92.6195697371039","6.49645684850801e-296","0.0015061857410165","8.66712500443087e-05","7882.40686807577","5.00352224990083e-153","0.401951545702752","0.0231297123419774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","HEI","g","3","L","19409","ch4","lgr","1676964660","0.5","100","320","167",NA,NA,"6","23","unknown","unknown","unknown","on","5","1","0.896440582049306","0.00189804882477695","0.998069566746519","0.538877035254024","0.570488810307165","318.991155468687",NA,NA,NA,NA,NA,NA,"281.916789297659","0.0520282129990756","82.3891638795987","0.0774188618825629","5.44","0","285.56","1.7774225818535","96.46","0","0.1534","0.082414","128.820932539814","2.96418191236795e-150","0.00677288595313679","0.000389092131649489","-282.654427404443","0","0.00192289716412783","0.000110467555737705","8480.62911330982","3.5136591335077e-57","1.1382693046911","0.0653918629691856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","HEI","g","1","L","19409","ch4","lgr","1676966880","0.5","100","320","84",NA,NA,"6","23","unknown","unknown","unknown","on","5","2","0.096872510628886","0.00227898079636993","0.997832518956903","0.602868140998738","0.779912623509368","221.23573234058",NA,NA,NA,NA,NA,NA,"282.7154","0.0561816463918987","84.5706","0.0926709509528292","5.61366666666667","0.00492433164455787","286.409666666667","1.19833433088699","41.0723333333333","0.00218054792931305","0.1534","0.082414","-17.1761091826156","3.14022109148063e-08","0.00810920955088404","0.000465861916467759","-297.667819482828","0","0.00214516247556717","0.000123236364251248","9583.82908251511","5.97636592349803e-101","0.787214581426402","0.0452242960640582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","HEI","ng","1","L","19409","ch4","lgr","1676972070","0.5","100","320","61",NA,NA,"7","23","unknown","unknown","unknown","on","5","4","0.0608415952439737","0.0021022984173967","0.472177260341709","0.736561753222675","0.291007608878702","271.704025896849",NA,NA,NA,NA,NA,NA,"281.5914","0.0281779684172735","83.9749333333333","0.0530619102309193","5.51966666666667","0.000333333333333326","295.255333333333","11.7053880778742","96.46","0","0.1534","0.082414","12.3504315070176","1.40457141456904e-05","0.00751038671715352","0.000431460443525684","16.0795742773198","1.14317910698085e-43","0.00263134080394591","0.00015116657944453","4017.76337150628","2.80850953477706e-24","0.970653019669641","0.0557625589930919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","HEI","ng","3","L","19409","ch4","lgr","1676974440","1","100","320","151",NA,NA,"7","23","unknown","unknown","unknown","on","5","2","0.058776570339755","0.00168697695133175","0.764115012590372","0.692663400103922","0.698628167803342","238.813824084941",NA,NA,NA,NA,NA,NA,"282.846033333333","0.0252480182708903","82.0729333333333","0.0504079919105872","5.68","0","260.674666666667","4.00631546646769","50.4476666666667","0.00965714949653702","0.1534","0.165508","-19.4666386988419","1.98577892500436e-05","0.0120493710220898","0.000692218278656999","57.5675198504912","2.04960787928559e-96","0.00494740505771942","0.000284220994323693","16790.253118358","2.21058399123384e-80","1.70574729508421","0.0979926217113226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","HEI","ng","5","L","19409","ch4","lgr","1676976990","0.5","100","320","60",NA,NA,"7","23","unknown","unknown","unknown","on","5","2","0.199820424136239","0.00235318253433166","0.909498487407306","0.681589377957324","0.164114889830256","214.616387499084",NA,NA,NA,NA,NA,NA,"281.902666666667","0.0141037984662998","84.4444","0.079259124581536","5.91","0","128.05","1.85823213476322","60.7876666666667","0.0143653745051889","0.1534","0.082414","-27.1968017193892","3.05658435024793e-16","0.00839742505572384","0.000483217512231788","49.9725943704104","1.52001973143065e-158","0.00243227868500202","0.000139961910635923","2199.37654925445","2.34634179211902e-13","0.765867077228491","0.0440706980178797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","WNT","ng","3","L","19409","ch4","lgr","1676985120","1","100","320","96",NA,NA,"8","23","unknown","unknown","unknown","on","5","2","0.402051622789577","0.00197738278443196","0.844506290899493","0.578267499972535","0.844262058700846","216.84810842019",NA,NA,NA,NA,NA,NA,"282.0565","0.0037117803365021","83.3637","0.209927714718452","6.31","0","66.8283333333333","0.891634568119212","96.46","0","0.1534","0.165508","75.0948035522036","1.76171009602079e-35","0.0141631533382508","0.000813651899853165","62.4142692838887","1.12592909785431e-123","0.0041418845845725","0.000237945052258128","23383.3716590482","1.42611681738429e-123","1.55319093240059","0.0892284876680247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","SCH","g","1","L","19410","ch4","lgr","1677054240","0.5","100","318","34",NA,NA,"5","25","unknown","unknown","unknown","on","4.5","2","0.0154608588286824","0.00213002061660411","0.980120645384178","0.529438816119526","0.726469291080785","160.290525176796",NA,NA,NA,NA,NA,NA,"280.416183844011","0.0165353663336644","95.2138718662953","0.0450723779961408","5.68055555555556","0.000387184473576231","156.026944444444","0.90010341728969","96.46","0","0.1534","0.082414","6.89543757946074","0.0404415020638194","0.00764275643796525","0.00046341017742059","-96.0355697391227","9.42956872240361e-232","0.00189968673958535","0.000115185427689642","-6748.24974551597","5.62950989460381e-78","0.575140650606904","0.0348730242946872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","SCH","g","3","L","19410","ch4","lgr","1677057360","0.5","100","318","77",NA,NA,"7","25","unknown","unknown","unknown","on","4.5","2","0.0663770667356557","0.00287448195817601","0.922815593282873","0.762756758650893","0.132526459975344","277.416555754213",NA,NA,NA,NA,NA,NA,"279.731472222222","0.0123061633655582","96.0125555555556","0.0628931490409954","5.36333333333333","0.00164268460101526","110.027777777778","2.20660300983967","33.1980555555556","0.0131584932101898","0.1534","0.082414","-19.8479263396507","1.68997607994903e-05","0.0103392144515976","0.00062690695985073","-68.2984772865258","3.30869805788405e-152","0.00274355721025341","0.000166352590702937","2807.9400765567","6.01736050427409e-10","0.997838672880903","0.0605028565531487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","SCH","g","5","L","19410","ch4","lgr","1677060300","0.5","100","318","-167",NA,NA,"7","25","unknown","unknown","unknown","on","4.5","2","0.000267515668881067","0.00373252791855622","0.96556185718451","0.80269728350771","0.366867638905813","236.501641881971",NA,NA,NA,NA,NA,NA,"280.086972222222","0.0188030894378994","97.0769166666667","0.0451974311227866","5.75","0","148.826388888889","1.77624090997876","96.46","0","0.1534","0.082414","1.57903382607881","0.788295851297916","0.013408476751","0.00081300832239723","-109.920233170718","1.56232594139434e-199","0.00288355455038826","0.000174841176301194","4655.83161298956","1.26662199496575e-28","0.849592243096831","0.0515140964263775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","SCH","ng","3","L","19410","ch4","lgr","1677063720","1","100","318","99",NA,NA,"6","25","unknown","unknown","unknown","on","4.5","2","0.697399377427265","0.00245741671776406","0.736151219405818","0.620192173096506","0.0844598183368919","270.010112549646",NA,NA,NA,NA,NA,NA,"281.348662952646","0.0115390822649736","92.0333704735376","0.0707992803657074","6.15","0","159.856944444444","2.77039498700795","96.46","0","0.1534","0.165508","192.819740732984","4.79568363734835e-72","0.017649046099057","0.00107013060673246","53.5425523978188","4.31260277093269e-80","0.00445418970829408","0.000270074921232877","4238.70520964706","1.0792470629031e-06","1.93919935888453","0.117581232144279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","SCH","ng","1","L","19410","ch4","lgr","1677066180","1","100","318","-97",NA,NA,"7","25","unknown","unknown","unknown","on","4.5","2","0.360989259191743","0.00381253888118488","0.937949810898322","0.484398809022384","0.381461928918361","272.280139951267",NA,NA,NA,NA,NA,NA,"280.928440111421","0.0107931249368213","94.466852367688","0.0260158067914842","5.83","0","124.630555555556","0.588818556746439","55.5955555555556","0.0242161052418927","0.1534","0.165508","-147.816968681746","3.54724284042487e-28","0.027422239733599","0.00165966944942185","97.1489836472245","1.30482154362751e-165","0.00348410880036846","0.000210867857279666","11029.9945274303","4.18734376546263e-30","1.95841445953244","0.118528635128573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","SCH","ng","1","L","19410","ch4","lgr","1677066810","1","100","318","-97",NA,NA,"6","25","unknown","unknown","unknown","on","4.5","1","0.711184902592069","0.00328799831956839","0.296078962476244","0.735745380400962","0.0209864222874964","232.45884199934",NA,NA,NA,NA,NA,NA,"280.884568245125","0.00463217979633123","91.2144846796657","0.150144053486392","5.83","0","107.857222222222","0.50437618410964","55.9294444444444","0.0227789391883541","0.1534","0.165508","338.940648226825","4.33667543786884e-59","0.0236650959765288","0.00161771265712431","31.3458533146852","6.84534571506391e-18","0.00529546652680824","0.000361990639475628","-2235.79338341287","0.0341756050331131","1.67310329015898","0.114370986361134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","SCH","ng","5","L","19410","ch4","lgr","1677069510","0.5","100","318","-65",NA,NA,"7","25","unknown","unknown","unknown","on","4.5","2","0.245395024165179","0.0026680856329798","0.715173873778273","0.642367192769322","0.425347300733805","182.212358879644",NA,NA,NA,NA,NA,NA,"280.318833333333","0.0107422281580714","95.8836388888889","0.050940195685596","5.99","0","84.5548571428571","0.820933611931001","96.46","0","0.1534","0.082414","46.0491606354416","9.07515237510751e-16","0.00957976753437001","0.000628942551281753","-30.8069122412514","1.17310140484045e-64","0.00230642086684575","0.000151423948349372","-4744.55904594595","1.71935482553715e-29","0.654233889040001","0.042952559112893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","NES","g","5","L","19436","ch4","lgr","1679304840","0.5","100","304","-13",NA,NA,"8","27","unknown","unknown","unknown","on","6","2","0.427795635382449","0.00216283107990438","0.739234726923979","1.76947519667407","0.768114129092332","169.921306546566",NA,NA,NA,NA,NA,NA,"283.88651810585","0.0148415500614034","85.7439832869081","0.0407464856402214","8.08","0","162.015","2.34809200239118","96.3","0.0418148878808109","0.1534","0.082414","-36.9903951717893","3.20359029024316e-44","0.00766243582729375","0.000408990567558168","-58.9297447415252","6.77597607076416e-104","0.00626886226505578","0.000334607113653919","6117.12492174015","8.46240445398376e-113","0.601993895501296","0.0321320570295183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
