"","coast","site","site_full","treatment","transect.point","date.insertion","date.retrieval","month.iris","month_name.iris","season.iris","campaign","sr_mean","sr_max","sr_min","sr_se","sr_0-10 cm","sr_20-30 cm","sr_40-50 cm","sr_10-20 cm","sr_50-60cm","sr_30-40 cm"
"26","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-08-01,2023-09-01,"09","September","Autumn","five",0.476677589481995,0.900443756551042,0.0223815398499417,0.0634080965510242,0.079438712931472,0.652714083092915,0.375193277413526,0.181530268784295,0.73667734085717,0.834511853812594
"27","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-09-01,2023-11-01,"11","November","Autumn","six",0.432341923212813,0.982537939819106,0.00409931258061487,0.0725077613819619,0.0279909796780951,0.468266725102028,0.478125023610153,0.115226554206787,0.966056589369293,0.538385667310519
"28","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",2023-10-01,2023-12-01,"12","December","Winter","seven",0.554659490070894,0.957857031403703,0.0235652656114892,0.0597431012537867,0.0691218430613676,0.583444829313445,0.66004863799815,0.409102140680098,0.913103566217388,0.693135923154917
"29","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-02-01,2023-04-01,"04","April","Spring","one",0.431716617559665,0.882994718470032,0.0209425340322178,0.0620219663715555,0.133260062926162,0.590520492725287,NA,0.306223064354066,NA,0.740451521330581
"30","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-04-01,2023-05-01,"05","May","Spring","two",0.0832135683140926,0.341414569287067,0.0023096906167018,0.0200226407316155,0.0217951556697464,0.157972444691487,0.0790910827689265,0.0265605815030367,0.0381039698331173,0.175758175418242
"31","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-05-01,2023-07-01,"07","July","Summer","three",0.150717928643685,0.589886991668729,0.0129953954645686,0.0329962163516164,0.0353747285384377,0.206557843425919,0.0700574598997431,0.0603506403165759,0.360987437170259,0.170979462511177
"32","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-07-01,2023-08-01,"08","August","Summer","four",0.0485363576473462,0.254369223573163,0.000885124046496012,0.013967148425767,0.0176372893990982,0.0168137043757589,0.113901372320832,0.0146608407881574,NA,0.0218986171957901
"33","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-08-01,2023-09-01,"09","September","Autumn","five",0.638812157209289,0.988270308123249,0.0352534307894188,0.0680503552700075,0.131888752754771,0.779445846726141,0.852048276682325,0.306929283104085,0.927354633596316,0.835206150392095
"34","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-09-01,2023-11-01,"11","November","Autumn","six",0.617382554998771,0.983945772386729,0.01155963348229,0.0741303599250931,0.116725494191099,0.461329451877513,0.96438680806687,0.365067274297792,0.98213471064515,0.814651590914201
"35","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","5",2023-10-01,2023-12-01,"12","December","Winter","seven",0.761732839450858,0.991967628940693,0.155162819787628,0.0558619639515833,0.247440031646181,0.80998483883121,0.98157220143817,0.637865458786637,0.970122201492072,0.923412304510876
"36","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-02-01,2023-04-01,"04","April","Spring","one",0.292212392453183,0.720495950936554,0.0068455521982391,0.0508727918196676,0.0183024502651771,0.205243424319893,0.570415700836751,0.0467483617626296,0.296841327886606,0.615723089648044
"37","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-04-01,2023-05-01,"05","May","Spring","two",0.0823604099458947,0.452469883572246,0.00271534669328213,0.023354156751456,0.0451511943670558,0.0383825605579843,0.203161527500794,0.0411537632549705,NA,0.0474444515455354
"38","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-05-01,2023-07-01,"07","July","Summer","three",0.0838154387748633,0.445509358828667,0.00254155490777163,0.0251575405835557,0.0202102582546785,0.0740120529748351,0.23319355106862,0.037870683500305,NA,0.0646215159213795
"39","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-07-01,2023-08-01,"08","August","Summer","four",0.164616078912762,0.681226003653036,0.0075964671851404,0.046147056794325,0.0260765611585243,0.185396183478626,0.313891339263957,0.0515762111725911,NA,0.246140099490112
"40","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-08-01,2023-09-01,"09","September","Autumn","five",0.233310896576539,0.787251357727344,0.0043877505972148,0.047422208179486,0.0349354805680241,0.140192364555404,0.469437127204002,0.036298611867492,0.496336523842863,0.222665271421451
"41","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-09-01,2023-11-01,"11","November","Autumn","six",0.118371405797334,0.529162294508569,0.000557812988386911,0.034492319540857,0.00741834166106085,0.060608043643629,0.272470861452841,0.00635225896152041,0.281186132915745,0.0821927961492088
"42","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",2023-10-01,2023-12-01,"12","December","Winter","seven",0.185360230025566,0.742288690392328,0.0128413030533399,0.0424940419108616,0.0484693660210547,0.10837378067513,0.422970268246382,0.0542964976312894,0.33690606901884,0.141145398560697
"43","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-02-01,2023-04-01,"04","April","Spring","one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-04-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-05-01,2023-07-01,"07","July","Summer","three",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-07-01,2023-08-01,"08","August","Summer","four",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-08-01,2023-09-01,"09","September","Autumn","five",0.572543771066055,0.987667800164494,0.0338851036226497,0.0778655488474544,0.0437386830986918,0.420195097539169,0.964730232279959,0.246999754480144,0.947657589471727,0.811941269526638
"48","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-09-01,2023-11-01,"11","November","Autumn","six",0.439312312965061,0.982549502311332,0.00859033307166087,0.0779213161918243,0.128598609556052,0.161212373565556,0.700607031480843,0.0656952677115156,0.926014934827746,0.653745660648655
"49","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",2023-10-01,2023-12-01,"12","December","Winter","seven",0.55283756598628,0.989063429698811,0.0363087045226033,0.0729711508375717,0.232566209247363,0.222571576699271,0.927141872202432,0.295682120954777,0.976949850036638,0.662113766777197
"50","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-02-01,2023-04-01,"04","April","Spring","one",0.684147386758107,0.992228906179188,0.0826044726395706,0.0708778884726673,0.179314720192502,0.802188861864034,0.972640656962526,0.582851850563238,NA,0.883740844208233
"51","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-04-01,2023-05-01,"05","May","Spring","two",0.510957768699699,0.975741420760475,0.0188752164972064,0.0751826319866948,0.076138422097578,0.372178858050749,0.88848615642689,0.315864409733372,NA,0.66325628990375
"52","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-05-01,2023-07-01,"07","July","Summer","three",0.619463326497022,0.99064036716,0.0350800003784761,0.0758406055617899,0.0639436418610083,0.596963300674826,0.977204344170867,0.328427875291306,0.901983638907095,0.848257158077032
"53","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-07-01,2023-08-01,"08","August","Summer","four",0.662408816343481,0.991818453694869,0.0992268134269275,0.0666359966186042,0.226681277285226,0.670356902083714,0.926632796316077,0.291058877986466,0.898993520548219,0.960729523841185
"54","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-08-01,2023-09-01,"09","September","Autumn","five",0.870949394767912,0.993448835692419,0.602659350979956,0.0278537761729036,0.667574276624069,0.879179209553687,0.98513477173394,0.782197702397226,0.921499901849311,0.99011050644924
"55","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-09-01,2023-11-01,"11","November","Autumn","six",0.80989717511222,0.994455982644815,0.409015593825218,0.0383056390569471,0.537636780640987,0.833415154205288,0.976738989328812,0.708589003791549,0.814241897601321,0.988761225105365
"56","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",2023-10-01,2023-12-01,"12","December","Winter","seven",0.899996617579388,0.994682035053083,0.392151490773419,0.0331633707522581,0.585350064467507,0.962969971204323,0.957811279976431,0.943054788248981,0.965756409004523,0.985037192574566
"57","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-02-01,2023-04-01,"04","April","Spring","one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-04-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-05-01,2023-07-01,"07","July","Summer","three",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-07-01,2023-08-01,"08","August","Summer","four",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-08-01,2023-09-01,"09","September","Autumn","five",0.436632548186196,0.987902546236976,0.0219276560746262,0.0674691450566996,0.0529233228318387,0.397364080448421,0.696471659252559,0.201030750973179,0.970674634577139,0.301330841034039
"62","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-09-01,2023-11-01,"11","November","Autumn","six",0.339450458299487,0.979875911335424,0.0152603582060417,0.0557514225888378,0.077290274450906,0.337953370619777,0.425705644876065,0.14519650558537,0.739224665910257,0.311332288354546
"63","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",2023-10-01,2023-12-01,"12","December","Winter","seven",0.574910608584952,0.936875472434225,0.122621762629261,0.0518367254217678,0.266484650810626,0.685002451743162,0.679959469286495,0.436084080399331,0.626290385902887,0.755642613367214
"64","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-02-01,2023-04-01,"04","April","Spring","one",0.401590266634484,0.989271985192919,0.0628455973710796,0.0687065996567284,0.173154738353087,0.266062472419863,NA,0.162997022779999,NA,0.637305629948449
"65","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-04-01,2023-05-01,"05","May","Spring","two",0.273236120474133,0.834629754103617,0.0226321241544579,0.0558463063153907,0.237166011584555,0.101164540831449,0.433005871390578,0.127936877671498,NA,0.382172999838174
"66","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-05-01,2023-07-01,"07","July","Summer","three",0.202333428061339,0.424227788994565,0.0398903554537375,0.0265699588028754,0.090296189122209,0.260495990652097,0.24439656241428,0.105662980970659,NA,0.31081541714745
"67","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-07-01,2023-08-01,"08","August","Summer","four",0.227627019153889,0.760854061867315,0.0152446151277342,0.0507992908035099,0.157702530144863,0.210197005073356,NA,0.0682998434851436,NA,0.303333077359562
"68","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-08-01,2023-09-01,"09","September","Autumn","five",0.341331913267282,0.985413793590353,0.0121743299470905,0.0696836203582239,0.151983308876146,0.144146772670887,0.57188138252808,0.0638438859360706,0.969825878399283,0.146310251193227
"69","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-09-01,2023-11-01,"11","November","Autumn","six",0.305999264809844,0.986999797350475,0.00200899334551957,0.073084471619805,0.339071943983972,0.0442247108714915,0.384842734586248,0.0385551643158225,0.920898727088968,0.10840230801256
"70","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",2023-10-01,2023-12-01,"12","December","Winter","seven",0.463612768320558,0.972261985512803,0.109961869030542,0.05968338125587,0.278780753620815,0.336081797368432,0.648080034317365,0.178648065915511,0.962233729453578,0.377852229247647
"71","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-02-01,2023-03-01,"03","March","Spring","one",0.849684884131015,0.994354453363914,0.382521139723506,0.040509378824749,0.513897366918332,0.867513105926575,0.981326654712902,0.852380246003983,0.961982015554817,0.921009915669482
"72","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-03-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-05-01,2023-06-01,"06","June","Summer","three",0.781934996272369,0.994457808140094,0.184064063011545,0.046362419177731,0.633054550910688,0.764577717407774,0.909955079511057,0.63250840239175,0.886913548370763,0.864600679042179
"74","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-06-01,2023-08-01,"08","August","Summer","four",0.954535891332981,0.994861931774786,0.759183634410609,0.0123882542869334,0.902641678671528,0.975163847378895,0.988911116829142,0.893488558583186,0.976396581644462,0.990613564890673
"75","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-08-01,2023-09-01,"09","September","Autumn","five",0.922297143974713,0.994459972765714,0.610297564267747,0.0242898020024095,0.707133287679512,0.978938835313663,0.990595806339402,0.898394673404468,0.968184311784593,0.990535949326637
"76","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-09-01,2023-10-01,"10","October","Autumn","six",0.933681714892927,0.994599217327593,0.537906368862352,0.0240965633606722,0.738057418962294,0.988096820450219,0.984444304224183,0.936013317508176,0.965861217112948,0.989617211099745
"77","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",2023-10-01,2023-12-01,"12","December","Winter","seven",0.73258949523018,0.987027724622847,0.0482450435947711,0.0578661628251029,0.416150976485775,0.723305818151259,0.914179825281199,0.639722538933716,0.908153061720804,0.794024750808328
"78","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-02-01,2023-03-01,"03","March","Spring","one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-03-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-05-01,2023-06-01,"06","June","Summer","three",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-06-01,2023-08-01,"08","August","Summer","four",0.823288728709462,0.986177930507827,0.425886642519397,0.0337315204255466,0.572689091750849,0.875301583541923,0.870956061880453,0.775937410710353,0.93011803411329,0.914730190259901
"82","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-08-01,2023-09-01,"09","September","Autumn","five",0.635068161173352,0.988803504056931,0.0139055556950267,0.0797229725164356,0.090311240042691,0.658397828075069,0.983322638109562,0.15542051961323,0.981592234673849,0.941364506525711
"83","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-09-01,2023-10-01,"10","October","Autumn","six",0.599891703045681,0.99342293394338,0.0299972561224313,0.0750143721196225,0.130354291017478,0.401273220312831,0.98345297981504,0.31161544644162,0.980649810926028,0.792004469761092
"84","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",2023-10-01,2023-12-01,"12","December","Winter","seven",0.655970395298881,0.994286173562958,0.0302675844172439,0.0722989425959599,0.0907778492201969,0.700462820304455,0.944077819051692,0.319067918088628,0.943077781545125,0.938358183583188
"85","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-02-01,2023-03-01,"03","March","Spring","one",0.112234536706321,0.338131693219141,0.00412172871003904,0.021716224238659,0.0519825614316238,0.146386706087397,0.135268513756293,0.0546434586450814,0.107610236137578,0.177515744179953
"86","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-03-01,2023-05-01,"05","May","Spring","two",0.0254551261202648,0.0598679980944364,0.00231275333689557,0.00344488153140783,0.0344255894523547,0.0341343579851682,0.0113228275008241,0.0335680939030742,0.0103949138709987,0.028884974009169
"87","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-05-01,2023-06-01,"06","June","Summer","three",0.081733408631742,0.544885441527446,0.0035897712635291,0.0298003783526812,0.0366202265215988,0.0330357048769426,0.164655212145202,0.0239487380330411,0.209770537332328,0.0223700328813399
"88","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-06-01,2023-08-01,"08","August","Summer","four",0.244386618153056,0.580906747058641,0.0305162191940246,0.0351032846003543,0.117521344357115,0.404690349461684,0.210595575275663,0.298147737585438,0.116103420896502,0.319261281341937
"89","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-08-01,2023-09-01,"09","September","Autumn","five",0.269606161222919,0.854099055298241,0.0172741721790608,0.0537539386630061,0.153899842476421,0.406169767103992,0.214495736210773,0.219207136705286,0.240587889041316,0.383276595799725
"90","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-09-01,2023-10-01,"10","October","Autumn","six",0.0872169163136036,0.380830268200155,0.0143661063120542,0.0180089354824292,0.0889161259274278,0.0611749040876856,0.0345015316949914,0.0619594542643513,0.205315577181618,0.0714339047255479
"91","North Sea","MET","Mettgrund (MET)","Not grazed","1",2023-10-01,2023-12-01,"12","December","Winter","seven",0.115934965469109,0.656724455286742,0.0103818743203356,0.027853341810999,0.0646712029171757,0.133177722711783,0.0966446711706019,0.0653442735526239,0.236746150167743,0.0990257722947269
"92","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-02-01,2023-03-01,"03","March","Spring","one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-03-01,2023-05-01,"05","May","Spring","two",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-05-01,2023-06-01,"06","June","Summer","three",0.230198477372249,0.697118632617214,0.00536169844770182,0.0407104636794557,0.033142390426868,0.214906073082773,0.452641596587824,0.0733406733934369,0.340076850136625,0.26708328060597
"95","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-06-01,2023-08-01,"08","August","Summer","four",0.677669815140458,0.985228630141375,0.262190146752933,0.0412643274567773,0.689321868335967,0.70398794941007,0.633530165252946,0.859311393839405,0.691280291368733,0.488587222635629
"96","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-08-01,2023-09-01,"09","September","Autumn","five",0.800721585555954,0.986796951413451,0.147550654652263,0.0477056171105022,0.367423825362524,0.905014930194305,0.917174267510755,0.839257466524175,0.936532509140321,0.838926514603644
"97","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-09-01,2023-10-01,"10","October","Autumn","six",0.912362525659145,0.97619928686084,0.792686943842975,0.0117026806256703,0.877415107713949,0.934115495377693,0.921642974383655,0.917065864703366,0.918920791587347,0.905014920188859
"98","North Sea","MET","Mettgrund (MET)","Not grazed","2",2023-10-01,2023-12-01,"12","December","Winter","seven",0.808587171730419,0.988473818961853,0.319430325450389,0.0343301878016186,0.543238509948351,0.849732378908955,0.909162052510645,0.770366203209405,0.913072253465721,0.865951632339439
"99","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-02-01,2023-03-01,"03","March","Spring","one",0.0641659803108735,0.199682452933306,0.016122621413526,0.00976768292399088,0.0639074087221633,0.085393538060052,0.047334049665316,0.0625001281763144,0.0557705604971846,0.0700901967442108
"100","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-03-01,2023-05-01,"05","May","Spring","two",0.0394280122119001,0.127506448615587,0.00588452401374442,0.00710366395587968,0.0453595895613667,0.0410118094041032,0.0259969060939201,0.0392841766981439,0.0470566765758096,0.037858914938057
"101","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-05-01,2023-06-01,"06","June","Summer","three",0.046660186922777,0.294863881295624,0.0102595624200511,0.0119565815358778,0.0204597187869734,0.027064393206678,0.0679148810729653,0.0206187329349912,0.106934570424115,0.0369688251109389
"102","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-06-01,2023-08-01,"08","August","Summer","four",0.339191737488585,0.806864229336844,0.0173356089516175,0.0536942388819689,0.0503179897886584,0.747255386400268,0.341746378903116,0.244172066390443,0.13178724489141,0.519871358557616
"103","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-08-01,2023-09-01,"09","September","Autumn","five",0.293456018271645,0.617036053121714,0.00955840561445128,0.0400113402540126,0.0468551233254171,0.528210506242323,0.249662685767438,0.202010137212955,0.203665465370182,0.530332191711553
"104","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-09-01,2023-10-01,"10","October","Autumn","six",0.223368639842428,0.79279853709006,0.00983125350325988,0.0468943098508452,0.0236276499766574,0.367935350280564,0.232509699645065,0.0833324359934516,0.427212376141808,0.205594327017023
"105","North Sea","MET","Mettgrund (MET)","Not grazed","3",2023-10-01,2023-12-01,"12","December","Winter","seven",0.288052970166723,0.575713231796694,0.0291111408058893,0.0410138334180107,0.0354708363569661,0.419483945248025,0.38276892711444,0.123717031718618,0.291094556750865,0.475782523811426
