"","coast","site","site_full","treatment","transect.point","total_cover","veg_categories","dominant_species","mixed_species","all_species","Argentina.anserina","Artemisia.maritima","Atriplex.laciniata","Atriplex.portulacoides","Atriplex.prostrata","Elymus.athericus","Festuca.rubra","Glaux.maritima","Juncus.gerardii","Juncus.maritimus","Limonium.vulgare","Phragmites.australis","Plantago.maritima","Puccinellia.maritima","Salicornia.europea","Spartina.anglica","Spergularia.media","Suaeda.maritima","Tripolium.pannonicum"
"27","North Sea","MET","Mettgrund (MET)","Not grazed","0.1",85,"mixed",NA,"Puccinellia.maritima, Spartina.anglica","Puccinellia.maritima, Spartina.anglica",0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,40,0,5,0
"28","North Sea","MET","Mettgrund (MET)","Not grazed","0.2",110,"dominant","Puccinellia.maritima",NA,"Puccinellia.maritima",0,0,0,0,15,0,0,0,0,0,0,0,0,50,0,10,0,35,0
"29","North Sea","NES","Nessmersiel (NES)","Grazed","1",68,"mixed",NA,"Salicornia.europea, Spartina.anglica","Salicornia.europea, Spartina.anglica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,0,0
"30","North Sea","NES","Nessmersiel (NES)","Grazed","2",101,"dominant","Puccinellia.maritima",NA,"Puccinellia.maritima",0,0,0,0,2,0,0,1,0,0,0,0,0,92,1,0,0,0,5
"31","North Sea","NES","Nessmersiel (NES)","Grazed","3",88,"dominant","Elymus.athericus",NA,"Elymus.athericus",0,0,0,0,15,70,0,0,0,0,0,0,0,0,0,0,3,0,0
"32","North Sea","NES","Nessmersiel (NES)","Grazed","4",84,"dominant","Elymus.athericus",NA,"Elymus.athericus",0,0,0,0,0,60,0,7,0,0,0,0,0,2,0,15,0,0,0
"33","North Sea","NES","Nessmersiel (NES)","Grazed","5",85,"dominant","Puccinellia.maritima",NA,"Puccinellia.maritima",0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,10,0,0,0
"34","North Sea","NES","Nessmersiel (NES)","Not grazed","1",99,"mixed",NA,"Puccinellia.maritima, Spartina.anglica","Puccinellia.maritima, Spartina.anglica",0,0,0,0,0,0,0,0,0,0,1,0,0,38,20,25,15,0,0
"35","North Sea","NES","Nessmersiel (NES)","Not grazed","2",85,"dominant","Tripolium.pannonicum",NA,"Tripolium.pannonicum",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"36","North Sea","NES","Nessmersiel (NES)","Not grazed","3",70,"dominant","Elymus.athericus",NA,"Elymus.athericus",0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","North Sea","NES","Nessmersiel (NES)","Not grazed","4",98,"dominant","Elymus.athericus",NA,"Elymus.athericus",0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,3
"38","North Sea","NES","Nessmersiel (NES)","Not grazed","5",50,"mixed",NA,"Atriplex.prostrata, Elymus.athericus","Atriplex.prostrata, Elymus.athericus",0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Baltic Sea","SCH","Schleimünde (SCH)","Grazed","3",50,"mixed",NA,"Phragmites.australis, Puccinellia.maritima","Phragmites.australis, Puccinellia.maritima",3,0,0,0,0,0,0,0,3,0,0,4,0,40,0,0,0,0,0
"40","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",84,"dominant","Puccinellia.maritima",NA,"Puccinellia.maritima",15,0,0,0,1,0,0,0,0,0,0,0,0,65,2,0,1,0,0
"41","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",85,"dominant","Puccinellia.maritima",NA,"Puccinellia.maritima",15,0,0,0,0,0,0,0,0,0,0,0,9,60,0,0,1,0,0
"42","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",98,"dominant","Puccinellia.maritima",NA,"Puccinellia.maritima",18,10,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
"43","Baltic Sea","WNT","Wendtorf (WNT)","Not grazed","1",60,"mixed",NA,"Phragmites.australis, Tripolium.pannonicum","Phragmites.australis, Tripolium.pannonicum",0,0,0,0,0,0,0,0,0,0,0,20,0,15,5,0,0,0,20
"44","Baltic Sea","WNT","Wendtorf (WNT)","Not grazed","2",57,"mixed",NA,"Juncus.gerardii, Tripolium.pannonicum","Juncus.gerardii, Tripolium.pannonicum",0,0,0,0,0,0,0,0,40,0,0,7,0,0,0,0,0,0,10
"45","Baltic Sea","WNT","Wendtorf (WNT)","Not grazed","3",88,"dominant","Glaux.maritima",NA,"Glaux.maritima",0,0,0,0,0,0,0,70,11,0,0,1,0,0,0,0,0,0,6
"46",NA,NA,NA,"Not grazed","110",83,"mixed",NA,"Puccinellia.maritima, Spartina.anglica","Puccinellia.maritima, Spartina.anglica",0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,35,0,0,0
"47",NA,NA,NA,"Not grazed","240",105,"mixed",NA,"Plantago.maritima, Puccinellia.maritima","Plantago.maritima, Puccinellia.maritima",0,25,0,5,0,0,0,0,0,0,5,0,30,40,0,0,0,0,0
"48",NA,NA,NA,"Not grazed","370",95,"dominant","Elymus.athericus",NA,"Elymus.athericus",0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0
